[1:528458]	 TSK0	Execution stopped
[1:528460]	 TSK1	Execution started
[1:546131]	 TSK1	Execution stopped

[1:560337]	 EXCV	Executive wakes up
[1:560338]	 EXCV	Checking deadline miss
[1:560340]	 EXCV	Begin frame 4
[1:560342]	 EXCV	Signal on task 0
[1:560344]	 EXCV	Signal on task 1
[1:560346]	 EXCV	Signal on task 4
[1:560346]	 EXCV	Executive sleeps

[1:560348]	 TSK0	Execution started
[1:568371]	 TSK0	Execution stopped
[1:568373]	 TSK1	Execution started
[1:586048]	 TSK1	Execution stopped
[1:586050]	 TSK4	Execution started
[1:593905]	 TSK4	Execution stopped

[1:600336]	 EXCV	Executive wakes up
[1:600338]	 EXCV	Checking deadline miss
[1:600339]	 EXCV	Begin frame 0
[1:600342]	 EXCV	Signal on task 0
[1:600343]	 EXCV	Signal on task 1
[1:600345]	 EXCV	Signal on task 2
[1:600346]	 EXCV	Executive sleeps

[1:600348]	 TSK0	Execution started
[1:608482]	 TSK0	Execution stopped
[1:608484]	 TSK1	Execution started
[1:626188]	 TSK1	Execution stopped
[1:626190]	 TSK2	Execution started
[1:634092]	 TSK2	Execution stopped

[1:640336]	 EXCV	Executive wakes up
[1:640337]	 EXCV	Checking deadline miss
[1:640339]	 EXCV	Begin frame 1
[1:640341]	 EXCV	Signal on task 0
[1:640343]	 EXCV	Signal on task 3
[1:640344]	 EXCV	Executive sleeps

[1:640346]	 TSK0	Execution started
[1:648423]	 TSK0	Execution stopped
[1:648426]	 TSK3	Execution started
[1:674936]	 TSK3	Execution stopped

[1:680337]	 EXCV	Executive wakes up
[1:680338]	 EXCV	Checking deadline miss
[1:680340]	 EXCV	Begin frame 2
[1:680342]	 EXCV	Signal on task 0
[1:680344]	 EXCV	Signal on task 1
[1:680344]	 EXCV	Executive sleeps

[1:680347]	 TSK0	Execution started
[1:688444]	 TSK0	Execution stopped
[1:688446]	 TSK1	Execution started
[1:706232]	 TSK1	Execution stopped

[1:720379]	 EXCV	Executive wakes up
[1:720382]	 EXCV	Checking deadline miss
[1:720385]	 EXCV	Begin frame 3
[1:720390]	 EXCV	Signal on task 0
[1:720392]	 EXCV	Signal on task 1
[1:720393]	 EXCV	Executive sleeps

[1:720396]	 TSK0	Execution started
[1:736300]	 TSK0	Execution stopped
[1:736303]	 TSK1	Execution started
[1:754021]	 TSK1	Execution stopped
