[1:560325]	 EXCV	Signal on task 0
[1:560327]	 EXCV	Signal on task 1
[1:560330]	 EXCV	Signal on task 4
[1:560330]	 EXCV	Executive sleeps

[1:560334]	 TSK0	Execution started

[1:600226]	 EXCV	Executive wakes up
[1:600226]	 EXCV	Checking deadline miss
[1:600227]	 EXCV	DEADLINE MISS DETECTED from task 0
[1:600228]	 EXCV	ABORTING TASK 1
[1:600228]	 EXCV	ABORTING TASK 4
[1:600229]	 EXCV	Begin frame 0
[1:600229]	 EXCV	Signal on task 0
[1:600230]	 EXCV	Signal on task 1
[1:600232]	 EXCV	Signal on task 2
[1:600232]	 EXCV	Executive sleeps

[1:602655]	 TSK0	Execution stopped
[1:602657]	 TSK1	Execution started
[1:620305]	 TSK1	Execution stopped
[1:620308]	 TSK2	Execution started
[1:628154]	 TSK2	Execution stopped

[1:640311]	 EXCV	Executive wakes up
[1:640315]	 EXCV	Checking deadline miss
[1:640317]	 EXCV	Begin frame 1
[1:640323]	 EXCV	Signal on task 0
[1:640325]	 EXCV	Signal on task 3
[1:640325]	 EXCV	Executive sleeps

[1:640329]	 TSK0	Execution started
[1:648349]	 TSK0	Execution stopped
[1:648352]	 TSK3	Execution started
[1:674823]	 TSK3	Execution stopped

[1:680312]	 EXCV	Executive wakes up
[1:680316]	 EXCV	Checking deadline miss
[1:680318]	 EXCV	Begin frame 2
[1:680323]	 EXCV	Signal on task 0
[1:680325]	 EXCV	Signal on task 1
[1:680326]	 EXCV	Executive sleeps

[1:680329]	 TSK0	Execution started
[1:688355]	 TSK0	Execution stopped
[1:688357]	 TSK1	Execution started
[1:706006]	 TSK1	Execution stopped

[1:720310]	 EXCV	Executive wakes up
[1:720314]	 EXCV	Checking deadline miss
[1:720316]	 EXCV	Begin frame 3
[1:720321]	 EXCV	Signal on task 0
[1:720323]	 EXCV	Signal on task 1
[1:720324]	 EXCV	Executive sleeps

[1:720327]	 TSK0	Execution started
[1:728302]	 TSK0	Execution stopped
[1:728304]	 TSK1	Execution started
[1:745952]	 TSK1	Execution stopped

[1:760314]	 EXCV	Executive wakes up
[1:760318]	 EXCV	Checking deadline miss
[1:760320]	 EXCV	Begin frame 4
[1:760325]	 EXCV	Signal on task 0
[1:760327]	 EXCV	Signal on task 1
[1:760329]	 EXCV	Signal on task 4
[1:760330]	 EXCV	Executive sleeps

[1:760333]	 TSK0	Execution started
[1:768391]	 TSK0	Execution stopped
[1:768393]	 TSK1	Execution started
[1:786045]	 TSK1	Execution stopped
[1:786047]	 TSK4	Execution started
[1:793917]	 TSK4	Execution stopped

[1:800310]	 EXCV	Executive wakes up
[1:800314]	 EXCV	Checking deadline miss
[1:800317]	 EXCV	Begin frame 0
[1:800322]	 EXCV	Signal on task 0
[1:800325]	 EXCV	Signal on task 1
[1:800327]	 EXCV	Signal on task 2
[1:800327]	 EXCV	Executive sleeps

[1:800331]	 TSK0	Execution started
[1:808336]	 TSK0	Execution stopped
[1:808339]	 TSK1	Execution started
[1:825988]	 TSK1	Execution stopped
[1:825991]	 TSK2	Execution started
[1:833835]	 TSK2	Execution stopped

[1:840313]	 EXCV	Executive wakes up
[1:840316]	 EXCV	Checking deadline miss	
